client_name,report_uuid,registrant_name,filing_year,amount,bill_id,bill_chamber,bill_type,bill_number,congress_number,introduced_date
SHELL OIL COMPANY,e39b999a-2529-445d-96fb-0fe69dae42a3,"SHELL USA, INC. (FKA SHELL OIL COMPANY)",2017,1910000.00,s517-115,Senate,s,517,115,2017-03-02
SHELL OIL COMPANY,e634630c-3c17-4aeb-bf8b-e4c06a819362,"SHELL USA, INC. (FKA SHELL OIL COMPANY)",2017,1740000.00,s517-115,Senate,s,517,115,2017-03-02
BP AMERICA,1a9f7197-a355-4e99-8dc7-f59d6c120d8a,"BP AMERICA, INC",2018,1260000.00,s2098-115,Senate,s,2098,115,2017-11-08
EXXON MOBIL CORPORATION,252a6bb2-da00-4580-b5c9-272f3d4f52fa,EXXON MOBIL CORP,2018,3140000.00,s2098-115,Senate,s,2098,115,2017-11-08
BP AMERICA,649a48b8-f7e7-4c43-88a5-ae924f0f873f,"BP AMERICA, INC",2018,1220000.00,s2098-115,Senate,s,2098,115,2017-11-08
BP AMERICA,757ea130-1f36-470e-9a1e-c2824029005f,"BP AMERICA, INC",2018,1630000.00,s2098-115,Senate,s,2098,115,2017-11-08
EXXON MOBIL CORPORATION,98c658d2-70d9-4f11-9f4c-401e0670ca8a,EXXON MOBIL CORP,2018,2730000.00,s2098-115,Senate,s,2098,115,2017-11-08
BP AMERICA,b59f73a2-e2fe-42bc-a993-2076207a76cc,"BP AMERICA, INC",2018,1560000.00,s2098-115,Senate,s,2098,115,2017-11-08
BP AMERICA,c683ca45-0d2a-493c-a44c-2c6c4fcf5e11,"BP AMERICA, INC",2018,1120000.00,s2098-115,Senate,s,2098,115,2017-11-08
EXXON MOBIL CORPORATION,d5b84bf1-f96a-4899-a81e-f14c164f1a7d,EXXON MOBIL CORP,2018,2190000.00,s2098-115,Senate,s,2098,115,2017-11-08
EXXON MOBIL CORPORATION,ef18e72d-faa5-43d3-a470-d3f73f11bc7b,EXXON MOBIL CORP,2018,3090000.00,s2098-115,Senate,s,2098,115,2017-11-08
EXXON MOBIL CORPORATION,692d32b8-02b6-46de-9c45-2d021b0adaa6,EXXON MOBIL CORP,2019,2650000.00,sres411-116,Senate,sres,411,116,2019-11-07
SHELL OIL COMPANY,09d57c52-f426-4dcf-8eac-865baa523829,"SHELL USA, INC. (FKA SHELL OIL COMPANY)",2019,1960000.00,hr535-116,House of Representatives,hr,535,116,2019-01-14
EXXON MOBIL CORPORATION,1bbe18fa-5c03-4560-8277-29bf625f4a49,EXXON MOBIL CORP,2020,2140000.00,hr535-116,House of Representatives,hr,535,116,2019-01-14
EXXON MOBIL CORPORATION,38bc853f-544d-48f4-b699-a2c082f80db5,EXXON MOBIL CORP,2020,1760000.00,hr535-116,House of Representatives,hr,535,116,2019-01-14
BP AMERICA,40665a8c-f9c3-4f52-82ae-d14b57b23014,"BP AMERICA, INC",2019,1500000.00,hr535-116,House of Representatives,hr,535,116,2019-01-14
EXXON MOBIL CORPORATION,5e160087-52fc-4092-a56b-660f454f4e41,EXXON MOBIL CORP,2020,2120000.00,hr535-116,House of Representatives,hr,535,116,2019-01-14
EXXON MOBIL CORPORATION,c4494ec2-8cd2-4bab-8fe3-0fce17d6a500,EXXON MOBIL CORP,2020,1760000.00,hr535-116,House of Representatives,hr,535,116,2019-01-14
SHELL OIL COMPANY,d73e0c30-353b-4905-9c50-66d005425bba,"SHELL USA, INC. (FKA SHELL OIL COMPANY)",2019,2160000.00,hr535-116,House of Representatives,hr,535,116,2019-01-14
SHELL OIL COMPANY,ea879947-034a-438d-b6f1-9d8aaa027450,"SHELL USA, INC. (FKA SHELL OIL COMPANY)",2019,1680000.00,hr535-116,House of Representatives,hr,535,116,2019-01-14
PHILLIPS 66,f3fe5c00-a326-4679-ad53-e7bc2b25a3b4,PHILLIPS 66,2020,1380000.00,hr535-116,House of Representatives,hr,535,116,2019-01-14
SHELL OIL COMPANY,f9475eb5-233e-4028-b5c9-7d8710599ba3,"SHELL USA, INC. (FKA SHELL OIL COMPANY)",2019,1520000.00,hr535-116,House of Representatives,hr,535,116,2019-01-14
SHELL OIL COMPANY,9ed3039c-2478-4f61-ae73-2e43a1dc071e,"SHELL USA, INC. (FKA SHELL OIL COMPANY)",2020,1870000.00,hr3742-116,House of Representatives,hr,3742,116,2019-07-12
SHELL OIL COMPANY,d73e0c30-353b-4905-9c50-66d005425bba,"SHELL USA, INC. (FKA SHELL OIL COMPANY)",2019,2160000.00,hr3742-116,House of Representatives,hr,3742,116,2019-07-12
SHELL OIL COMPANY,772ac01b-3530-486b-a179-a3c905a7cd6e,"SHELL USA, INC. (FKA SHELL OIL COMPANY)",2020,1690000.00,hr5120-116,House of Representatives,hr,5120,116,2019-11-15
SHELL OIL COMPANY,9ed3039c-2478-4f61-ae73-2e43a1dc071e,"SHELL USA, INC. (FKA SHELL OIL COMPANY)",2020,1870000.00,hr5120-116,House of Representatives,hr,5120,116,2019-11-15
SHELL OIL COMPANY,c5ebfefc-2586-4fe6-a95c-844d8e968b50,"SHELL USA, INC. (FKA SHELL OIL COMPANY)",2020,1630000.00,hr5120-116,House of Representatives,hr,5120,116,2019-11-15
SHELL OIL COMPANY,d73e0c30-353b-4905-9c50-66d005425bba,"SHELL USA, INC. (FKA SHELL OIL COMPANY)",2019,2160000.00,hr5120-116,House of Representatives,hr,5120,116,2019-11-15
SHELL OIL COMPANY,eb0cda2d-46ef-4c45-bafb-c0ce12dd87e0,"SHELL USA, INC. (FKA SHELL OIL COMPANY)",2020,1960000.00,hr5120-116,House of Representatives,hr,5120,116,2019-11-15
PHILLIPS 66,f3fe5c00-a326-4679-ad53-e7bc2b25a3b4,PHILLIPS 66,2020,1380000.00,hr5120-116,House of Representatives,hr,5120,116,2019-11-15
CONOCOPHILLIPS,f9c0e0ee-5787-4c26-9575-185ee6d17885,CONOCOPHILLIPS,2020,1040000.00,hr5120-116,House of Representatives,hr,5120,116,2019-11-15
PHILLIPS 66,dd3bd094-8f19-403c-954a-1b47776cd3ed,PHILLIPS 66,2019,1010000.00,s684-116,Senate,s,684,116,2019-03-06
EXXON MOBIL CORPORATION,1bbe18fa-5c03-4560-8277-29bf625f4a49,EXXON MOBIL CORP,2020,2140000.00,s383-116,Senate,s,383,116,2019-02-07
EXXON MOBIL CORPORATION,38bc853f-544d-48f4-b699-a2c082f80db5,EXXON MOBIL CORP,2020,1760000.00,s383-116,Senate,s,383,116,2019-02-07
EXXON MOBIL CORPORATION,54b4c63f-3313-433e-b046-7615ebb240be,EXXON MOBIL CORP,2019,2710000.00,s383-116,Senate,s,383,116,2019-02-07
EXXON MOBIL CORPORATION,5e160087-52fc-4092-a56b-660f454f4e41,EXXON MOBIL CORP,2020,2120000.00,s383-116,Senate,s,383,116,2019-02-07
EXXON MOBIL CORPORATION,692d32b8-02b6-46de-9c45-2d021b0adaa6,EXXON MOBIL CORP,2019,2650000.00,s383-116,Senate,s,383,116,2019-02-07
EXXON MOBIL CORPORATION,86cb5d91-625d-4bc2-b4e8-dc5153da202c,EXXON MOBIL CORP,2020,2670000.00,s383-116,Senate,s,383,116,2019-02-07
EXXON MOBIL CORPORATION,c4494ec2-8cd2-4bab-8fe3-0fce17d6a500,EXXON MOBIL CORP,2020,1760000.00,s383-116,Senate,s,383,116,2019-02-07
EXXON MOBIL CORPORATION,d84fee80-4fd6-476f-a362-2b455ce45a0a,EXXON MOBIL CORP,2019,1940000.00,s383-116,Senate,s,383,116,2019-02-07
EXXON MOBIL CORPORATION,ec5d30e8-c5ed-4be9-bf9d-55927c8ce44e,EXXON MOBIL CORP,2019,2450000.00,s383-116,Senate,s,383,116,2019-02-07
EXXON MOBIL CORPORATION,692d32b8-02b6-46de-9c45-2d021b0adaa6,EXXON MOBIL CORP,2019,2650000.00,s2662-116,Senate,s,2662,116,2019-10-22
BP AMERICA,26a0abdb-ddbc-4ef8-9374-e9a5c6137ab2,"BP AMERICA, INC",2019,1180000.00,s1790-116,Senate,s,1790,116,2019-06-11
EXXON MOBIL CORPORATION,692d32b8-02b6-46de-9c45-2d021b0adaa6,EXXON MOBIL CORP,2019,2650000.00,s1790-116,Senate,s,1790,116,2019-06-11
EXXON MOBIL CORPORATION,692d32b8-02b6-46de-9c45-2d021b0adaa6,EXXON MOBIL CORP,2019,2650000.00,s1790-116,Senate,s,1790,116,2019-06-11
BP AMERICA,84f8f0b5-00e4-451c-8830-a64a2e77625f,"BP AMERICA, INC",2020,1680000.00,s1790-116,Senate,s,1790,116,2019-06-11
BP AMERICA,b51b5105-6753-4025-b22a-4643f2b94226,"BP AMERICA, INC",2019,1230000.00,s1790-116,Senate,s,1790,116,2019-06-11
BP AMERICA,b51b5105-6753-4025-b22a-4643f2b94226,"BP AMERICA, INC",2019,1230000.00,s1790-116,Senate,s,1790,116,2019-06-11
SHELL OIL COMPANY,d73e0c30-353b-4905-9c50-66d005425bba,"SHELL USA, INC. (FKA SHELL OIL COMPANY)",2019,2160000.00,s1790-116,Senate,s,1790,116,2019-06-11
EXXON MOBIL CORPORATION,d84fee80-4fd6-476f-a362-2b455ce45a0a,EXXON MOBIL CORP,2019,1940000.00,s1790-116,Senate,s,1790,116,2019-06-11
EXXON MOBIL CORPORATION,d84fee80-4fd6-476f-a362-2b455ce45a0a,EXXON MOBIL CORP,2019,1940000.00,s1790-116,Senate,s,1790,116,2019-06-11
SHELL OIL COMPANY,ea879947-034a-438d-b6f1-9d8aaa027450,"SHELL USA, INC. (FKA SHELL OIL COMPANY)",2019,1680000.00,s1790-116,Senate,s,1790,116,2019-06-11
EXXON MOBIL CORPORATION,ec5d30e8-c5ed-4be9-bf9d-55927c8ce44e,EXXON MOBIL CORP,2019,2450000.00,s1790-116,Senate,s,1790,116,2019-06-11
EXXON MOBIL CORPORATION,ec5d30e8-c5ed-4be9-bf9d-55927c8ce44e,EXXON MOBIL CORP,2019,2450000.00,s1790-116,Senate,s,1790,116,2019-06-11
BP AMERICA,f507946c-c953-4afd-92e3-40468e9fd6b9,"BP AMERICA, INC",2019,1260000.00,s1790-116,Senate,s,1790,116,2019-06-11
BP AMERICA,f507946c-c953-4afd-92e3-40468e9fd6b9,"BP AMERICA, INC",2019,1260000.00,s1790-116,Senate,s,1790,116,2019-06-11
BP AMERICA,f774b270-c18c-4870-9131-2989049e203c,"BP AMERICA, INC",2019,1390000.00,s1790-116,Senate,s,1790,116,2019-06-11
EXXON MOBIL CORPORATION,1bbe18fa-5c03-4560-8277-29bf625f4a49,EXXON MOBIL CORP,2020,2140000.00,s4642-116,Senate,s,4642,116,2020-09-22
EXXON MOBIL CORPORATION,1bbe18fa-5c03-4560-8277-29bf625f4a49,EXXON MOBIL CORP,2020,2140000.00,s3894-116,Senate,s,3894,116,2020-06-04
EXXON MOBIL CORPORATION,38bc853f-544d-48f4-b699-a2c082f80db5,EXXON MOBIL CORP,2020,1760000.00,s3894-116,Senate,s,3894,116,2020-06-04
BP AMERICA,3f7efd8c-80bb-46e7-9529-7aacad7bc297,"BP AMERICA, INC",2020,1040000.00,s3894-116,Senate,s,3894,116,2020-06-04
EXXON MOBIL CORPORATION,5e160087-52fc-4092-a56b-660f454f4e41,EXXON MOBIL CORP,2020,2120000.00,s3894-116,Senate,s,3894,116,2020-06-04
EXXON MOBIL CORPORATION,c4494ec2-8cd2-4bab-8fe3-0fce17d6a500,EXXON MOBIL CORP,2020,1760000.00,s3894-116,Senate,s,3894,116,2020-06-04
EXXON MOBIL CORPORATION,86cb5d91-625d-4bc2-b4e8-dc5153da202c,EXXON MOBIL CORP,2020,2670000.00,s3227-116,Senate,s,3227,116,2020-01-28
EXXON MOBIL CORPORATION,1bbe18fa-5c03-4560-8277-29bf625f4a49,EXXON MOBIL CORP,2020,2140000.00,s1811-116,Senate,s,1811,116,2019-06-12
SHELL OIL COMPANY,09d57c52-f426-4dcf-8eac-865baa523829,"SHELL USA, INC. (FKA SHELL OIL COMPANY)",2019,1960000.00,s617-116,Senate,s,617,116,2019-02-28
EXXON MOBIL CORPORATION,54b4c63f-3313-433e-b046-7615ebb240be,EXXON MOBIL CORP,2019,2710000.00,s617-116,Senate,s,617,116,2019-02-28
EXXON MOBIL CORPORATION,692d32b8-02b6-46de-9c45-2d021b0adaa6,EXXON MOBIL CORP,2019,2650000.00,s617-116,Senate,s,617,116,2019-02-28
SHELL OIL COMPANY,d73e0c30-353b-4905-9c50-66d005425bba,"SHELL USA, INC. (FKA SHELL OIL COMPANY)",2019,2160000.00,s617-116,Senate,s,617,116,2019-02-28
EXXON MOBIL CORPORATION,d84fee80-4fd6-476f-a362-2b455ce45a0a,EXXON MOBIL CORP,2019,1940000.00,s617-116,Senate,s,617,116,2019-02-28
PHILLIPS 66,dd3bd094-8f19-403c-954a-1b47776cd3ed,PHILLIPS 66,2019,1010000.00,s617-116,Senate,s,617,116,2019-02-28
SHELL OIL COMPANY,ea879947-034a-438d-b6f1-9d8aaa027450,"SHELL USA, INC. (FKA SHELL OIL COMPANY)",2019,1680000.00,s617-116,Senate,s,617,116,2019-02-28
EXXON MOBIL CORPORATION,ec5d30e8-c5ed-4be9-bf9d-55927c8ce44e,EXXON MOBIL CORP,2019,2450000.00,s617-116,Senate,s,617,116,2019-02-28
SHELL OIL COMPANY,f9475eb5-233e-4028-b5c9-7d8710599ba3,"SHELL USA, INC. (FKA SHELL OIL COMPANY)",2019,1520000.00,s617-116,Senate,s,617,116,2019-02-28
EXXON MOBIL CORPORATION,1bbe18fa-5c03-4560-8277-29bf625f4a49,EXXON MOBIL CORP,2020,2140000.00,s3756-116,Senate,s,3756,116,2020-05-19
EXXON MOBIL CORPORATION,38bc853f-544d-48f4-b699-a2c082f80db5,EXXON MOBIL CORP,2020,1760000.00,s3756-116,Senate,s,3756,116,2020-05-19
EXXON MOBIL CORPORATION,5e160087-52fc-4092-a56b-660f454f4e41,EXXON MOBIL CORP,2020,2120000.00,s3756-116,Senate,s,3756,116,2020-05-19
EXXON MOBIL CORPORATION,c4494ec2-8cd2-4bab-8fe3-0fce17d6a500,EXXON MOBIL CORP,2020,1760000.00,s3756-116,Senate,s,3756,116,2020-05-19
EXXON MOBIL CORPORATION,692d32b8-02b6-46de-9c45-2d021b0adaa6,EXXON MOBIL CORP,2019,2650000.00,s2300-116,Senate,s,2300,116,2019-07-25
EXXON MOBIL CORPORATION,d84fee80-4fd6-476f-a362-2b455ce45a0a,EXXON MOBIL CORP,2019,1940000.00,s2300-116,Senate,s,2300,116,2019-07-25
SHELL OIL COMPANY,4cce61fe-033a-4466-8e75-3284100d846b,"SHELL USA, INC. (FKA SHELL OIL COMPANY)",2021,1950000.00,hr1512-117,House of Representatives,hr,1512,117,2021-03-02
SHELL OIL COMPANY,4de71549-01bf-4169-b2ed-2aa238682744,"SHELL USA, INC. (FKA SHELL OIL COMPANY)",2021,1530000.00,hr1512-117,House of Representatives,hr,1512,117,2021-03-02
SHELL OIL COMPANY,4de71549-01bf-4169-b2ed-2aa238682744,"SHELL USA, INC. (FKA SHELL OIL COMPANY)",2021,1530000.00,hr1512-117,House of Representatives,hr,1512,117,2021-03-02
